end station id,end station name,end station latitude,end station longitude,end duration mean,end duration sum,end duration count,end year,end type
323,Lawrence St & Willoughby St,40.69236178,-73.98631746,1590.315391,3575029,2248,2019,subs
324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,678.8713259,2078704,3062,2019,subs
325,E 19 St & 3 Ave,40.73624527,-73.98473765,648.7130682,2283470,3520,2019,subs
326,E 11 St & 1 Ave,40.72953837,-73.98426726,717.7060347,3603602,5021,2019,subs
327,Vesey Pl & River Terrace,40.7153379,-74.01658354,909.3047015,5589496,6147,2019,subs
328,Watts St & Greenwich St,40.72405549,-74.00965965,786.4115007,2803557,3565,2019,subs
330,Reade St & Broadway,40.71450451,-74.00562789,849.332185,1725843,2032,2019,subs
331,Pike St & Monroe St,40.71173107,-73.99193043,816.0296378,1486806,1822,2019,subs
332,Cherry St,40.71219906,-73.97948148,1424.201613,2649015,1860,2019,subs
334,W 20 St & 7 Ave,40.74238787,-73.99726235,676.433989,3335496,4931,2019,subs
335,Washington Pl & Broadway,40.72903917,-73.99404649,612.8627396,2174437,3548,2019,subs
336,Sullivan St & Washington Sq,40.73047747,-73.99906065,690.7922451,2886130,4178,2019,subs
337,Old Slip & Front St,40.7037992,-74.00838676,997.4078762,2836628,2844,2019,subs
339,Avenue D & E 12 St,40.72580614,-73.97422494,908.9066176,1236113,1360,2019,subs
340,Madison St & Clinton St,40.71269042,-73.98776323,911.6469345,1724836,1892,2019,subs
341,Stanton St & Mangin St,40.71782143,-73.97628939,972.4563798,1638589,1685,2019,subs
342,Columbia St & Rivington St,40.71739973,-73.98016555,735.2058971,1471147,2001,2019,subs
343,Clinton Ave & Flushing Ave,40.69794,-73.96986848,882.6200228,775823,879,2019,subs
344,Monroe St & Bedford Ave,40.6851443,-73.95380904,1089.280475,1009763,927,2019,subs
346,Bank St & Hudson St,40.73652889,-74.00618026,759.1873007,2618437,3449,2019,subs
347,Greenwich St & W Houston St,40.728846,-74.008591,865.6212637,4575674,5286,2019,subs
349,Rivington St & Ridge St,40.71850211,-73.98329859,866.9945012,2207368,2546,2019,subs
350,Clinton St & Grand St,40.71559509,-73.9870295,739.0073859,3301885,4468,2019,subs
351,Front St & Maiden Ln,40.70530954,-74.00612572,1054.933756,2659488,2521,2019,subs
353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,649.6579683,697083,1073,2019,subs
354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,732.6622185,878462,1199,2019,subs
355,Bayard St & Baxter St,40.71602118,-73.99974372,783.6925853,2388695,3048,2019,subs
356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,836.7989576,1123821,1343,2019,subs
358,Christopher St & Greenwich St,40.73291553,-74.00711384,766.1533381,6495448,8478,2019,subs
359,E 47 St & Park Ave,40.75510267,-73.97498696,708.6696753,5260455,7423,2019,subs
360,William St & Pine St,40.70717936,-74.00887308,917.584885,1675510,1826,2019,subs
361,Allen St & Hester St,40.71605866,-73.99190759,792.1146556,3426688,4326,2019,subs
362,Broadway & W 37 St,40.75172632,-73.98753523,749.6079566,4145332,5530,2019,subs
363,West Thames St,40.70834698,-74.01713445,851.8753086,2070057,2430,2019,subs
364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,825.5199409,1117754,1354,2019,subs
365,Fulton St & Grand Ave,40.68223166,-73.9614583,786.6570248,761484,968,2019,subs
