start station id,start station name,start station latitude,start station longitude,start duration mean,start duration sum,start duration count,start year,start type
332,Cherry St,40.71219906,-73.97948148,1010.716649,1894083,1874,2019,subs
334,W 20 St & 7 Ave,40.74238787,-73.99726235,683.7485537,3309343,4840,2019,subs
335,Washington Pl & Broadway,40.72903917,-73.99404649,649.0372526,2230092,3436,2019,subs
336,Sullivan St & Washington Sq,40.73047747,-73.99906065,707.9614446,2901226,4098,2019,subs
337,Old Slip & Front St,40.7037992,-74.00838676,967.8346426,2464107,2546,2019,subs
339,Avenue D & E 12 St,40.72580614,-73.97422494,863.8078457,1299167,1504,2019,subs
340,Madison St & Clinton St,40.71269042,-73.98776323,772.3052017,1455023,1884,2019,subs
341,Stanton St & Mangin St,40.71782143,-73.97628939,906.9413132,1560846,1721,2019,subs
342,Columbia St & Rivington St,40.71739973,-73.98016555,776.0593137,1583161,2040,2019,subs
343,Clinton Ave & Flushing Ave,40.69794,-73.96986848,923.2464678,588108,637,2019,subs
344,Monroe St & Bedford Ave,40.6851443,-73.95380904,667.6084453,695648,1042,2019,subs
346,Bank St & Hudson St,40.73652889,-74.00618026,736.2698972,2506999,3405,2019,subs
347,Greenwich St & W Houston St,40.728846,-74.008591,849.2143286,4243524,4997,2019,subs
349,Rivington St & Ridge St,40.71850211,-73.98329859,802.9135021,2283486,2844,2019,subs
350,Clinton St & Grand St,40.71559509,-73.9870295,729.4607668,3272361,4486,2019,subs
351,Front St & Maiden Ln,40.70530954,-74.00612572,1022.273478,2351229,2300,2019,subs
353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,689.1868132,752592,1092,2019,subs
354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,762.7450658,927498,1216,2019,subs
355,Bayard St & Baxter St,40.71602118,-73.99974372,801.007765,2372585,2962,2019,subs
356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,759.3819065,1250702,1647,2019,subs
358,Christopher St & Greenwich St,40.73291553,-74.00711384,757.8704893,6489645,8563,2019,subs
359,E 47 St & Park Ave,40.75510267,-73.97498696,755.6445355,5531318,7320,2019,subs
360,William St & Pine St,40.70717936,-74.00887308,915.2070117,1644627,1797,2019,subs
361,Allen St & Hester St,40.71605866,-73.99190759,765.2547236,3280647,4287,2019,subs
362,Broadway & W 37 St,40.75172632,-73.98753523,726.5830613,4006379,5514,2019,subs
363,West Thames St,40.70834698,-74.01713445,780.360908,2028158,2599,2019,subs
364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,747.2955975,1069380,1431,2019,subs
365,Fulton St & Grand Ave,40.68223166,-73.9614583,814.578388,919659,1129,2019,subs
366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,935.2020548,2184632,2336,2019,subs
368,Carmine St & 6 Ave,40.73038599,-74.00214988,714.371449,5004172,7005,2019,subs
369,Washington Pl & 6 Ave,40.73224119,-74.00026394,727.696639,1667153,2291,2019,subs
372,Franklin Ave & Myrtle Ave,40.69454609,-73.95801365,819.722334,407402,497,2019,subs
373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,917.8272251,525915,573,2019,subs
376,John St & William St,40.70862144,-74.00722156,856.834935,1515741,1769,2019,subs
377,6 Ave & Canal St,40.72243797,-74.00566443,807.9697926,3584154,4436,2019,subs
379,W 31 St & 7 Ave,40.749156,-73.9916,712.7786885,5217540,7320,2019,subs
380,W 4 St & 7 Ave S,40.73401143,-74.00293877,846.1739383,4363719,5157,2019,subs
382,University Pl & E 14 St,40.73492695,-73.99200509,653.0343788,2165462,3316,2019,subs
383,Greenwich Ave & Charles St,40.735238,-74.000271,663.7125444,2613700,3938,2019,subs
385,E 55 St & 2 Ave,40.75797322,-73.96603308,829.8831437,2407491,2901,2019,subs
386,Centre St & Worth St,40.71494807,-74.00234482,839.9788248,1586720,1889,2019,subs
387,Centre St & Chambers St,40.71273266,-74.0046073,789.1001811,2615078,3314,2019,subs
388,W 26 St & 10 Ave,40.74971775,-74.00295035,961.1003495,5775252,6009,2019,subs
389,Broadway & Berry St,40.71044554,-73.96525063,712.3489507,1459603,2049,2019,subs
390,Duffield St & Willoughby St,40.69221589,-73.9842844,779.0746528,1346241,1728,2019,subs
391,Clark St & Henry St,40.69760127,-73.99344559,668.8891533,1967203,2941,2019,subs
392,Jay St & Tech Pl,40.695065,-73.987167,1283.480278,2212720,1724,2019,subs
393,E 5 St & Avenue C,40.72299208,-73.97995466,724.9824261,1691384,2333,2019,subs
394,E 9 St & Avenue C,40.72521311,-73.97768752,1094.059403,4217599,3855,2019,subs
396,Lefferts Pl & Franklin Ave,40.68034242,-73.95576894,1445.078478,1215311,841,2019,subs
397,Fulton St & Clermont Ave,40.68415748,-73.96922273,801.6894118,681436,850,2019,subs
398,Atlantic Ave & Furman St,40.69165183,-73.9999786,950.1556627,1971573,2075,2019,subs
399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,688.5676157,1160925,1686,2019,subs
400,Pitt St & Stanton St,40.71926081,-73.98178024,732.5092725,513489,701,2019,subs
401,Allen St & Rivington St,40.72019576,-73.98997825,752.2159692,3127714,4158,2019,subs
402,Broadway & E 22 St,40.7403432,-73.98955109,818.4600986,8133038,9937,2019,subs
403,E 2 St & 2 Ave,40.72502876,-73.99069656,723.6484935,3026298,4182,2019,subs
405,Washington St & Gansevoort St,40.739323,-74.008119,888.938435,4634925,5214,2019,subs
406,Hicks St & Montague St,40.69512845,-73.99595065,710.5697731,1471590,2071,2019,subs
407,Henry St & Poplar St,40.700469,-73.991454,558.0515464,270655,485,2019,subs
408,Market St & Cherry St,40.71076228,-73.99400398,846.2610707,1280393,1513,2019,subs
410,Suffolk St & Stanton St,40.72066442,-73.98517977,998.3792717,3564214,3570,2019,subs
411,E 6 St & Avenue D,40.72228087,-73.97668709,981.092745,2623442,2674,2019,subs
412,Forsyth St & Canal St,40.7158155,-73.99422366,880.9824229,3257873,3698,2019,subs
414,Pearl St & Anchorage Pl,40.70281858,-73.98765762,1080.079077,1966824,1821,2019,subs
415,Pearl St & Hanover Square,40.7047177,-74.00926027,907.4676293,1948333,2147,2019,subs
416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,750.8482759,1088730,1450,2019,subs
417,Barclay St & Church St,40.71291224,-74.01020234,862.1877437,3095254,3590,2019,subs
418,Front St & Gold St,40.70224,-73.982578,1112.211745,1344664,1209,2019,subs
419,Carlton Ave & Park Ave,40.69580705,-73.97355569,749.795196,593088,791,2019,subs
420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,802.2335558,841543,1049,2019,subs
421,Clermont Ave & Park Ave,40.69573398,-73.97129668,796.1678225,574037,721,2019,subs
422,W 59 St & 10 Ave,40.770513,-73.988038,923.6906556,2451475,2654,2019,subs
423,W 54 St & 9 Ave,40.76584941,-73.98690506,811.1071304,2331933,2875,2019,subs
426,West St & Chambers St,40.71754834,-74.01322069,1002.376446,8664542,8644,2019,subs
427,Bus Slip & State St,40.701907,-74.013942,1164.751006,2025502,1739,2019,subs
432,E 7 St & Avenue A,40.72621788,-73.98379855,648.4575688,3958185,6104,2019,subs
435,W 21 St & 6 Ave,40.74173969,-73.99415556,703.8537612,6184763,8787,2019,subs
436,Hancock St & Bedford Ave,40.68216564,-73.95399026,821.5776173,455154,554,2019,subs
437,Macon St & Nostrand Ave,40.68098339,-73.95004798,1937.900361,2683992,1385,2019,subs
438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,713.8641808,3694961,5176,2019,subs
439,E 4 St & 2 Ave,40.7262807,-73.98978041,700.1007529,3161655,4516,2019,subs
440,E 45 St & 3 Ave,40.75255434,-73.97282625,834.5019751,2746346,3291,2019,subs
441,E 52 St & 2 Ave,40.756014,-73.967416,864.166186,2397197,2774,2019,subs
442,W 27 St & 7 Ave,40.746647,-73.993915,704.8639492,3994464,5667,2019,subs
443,Bedford Ave & S 9 St,40.70853074,-73.96408963,1118.713396,718214,642,2019,subs
445,E 10 St & Avenue A,40.72740794,-73.98142006,783.8609327,4638889,5918,2019,subs
446,W 24 St & 7 Ave,40.74487634,-73.99529885,660.2262774,3798942,5754,2019,subs
447,8 Ave & W 52 St,40.76370739,-73.9851615,849.5299468,3829681,4508,2019,subs
448,W 37 St & 10 Ave,40.75660359,-73.9979009,814.003947,2887272,3547,2019,subs
450,W 49 St & 8 Ave,40.76227205,-73.98788205,725.9062793,3098168,4268,2019,subs
453,W 22 St & 8 Ave,40.74475148,-73.99915362,683.5153053,4309564,6305,2019,subs
454,E 51 St & 1 Ave,40.75455731,-73.96592976,837.6336185,1664378,1987,2019,subs
455,1 Ave & E 44 St,40.75001986,-73.96905301,898.7844408,2772750,3085,2019,subs
456,E 53 St & Madison Ave,40.7597108,-73.97402311,747.5855194,2137347,2859,2019,subs
458,11 Ave & W 27 St,40.751396,-74.005226,859.6141115,2960511,3444,2019,subs
